Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.5@original,crop_center,0.5,original,3.4600,0.3638,0.1678
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.9@immunized,crop_random,0.9,immunized,5.7000,0.3703,0.1505
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.9@original,crop_random,0.9,original,3.2167,0.5198,0.3255
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.75@immunized,crop_random,0.75,immunized,6.3167,0.3420,0.1058
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.75@original,crop_random,0.75,original,3.8533,0.4196,0.2404
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.5@immunized,crop_random,0.5,immunized,5.8800,0.3355,0.0844
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.5@original,crop_random,0.5,original,3.6933,0.3066,0.1638
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@0.5@immunized,blur,0.5,immunized,6.5533,0.3543,0.1287
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@0.5@original,blur,0.5,original,1.4600,0.7732,0.6150
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@1.0@immunized,blur,1.0,immunized,2.9767,0.6406,0.3710
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@1.0@original,blur,1.0,original,2.4500,0.6665,0.4328
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@2.0@immunized,blur,2.0,immunized,3.1700,0.5989,0.3075
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@2.0@original,blur,2.0,original,2.9833,0.5927,0.3106
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@4.0@immunized,blur,4.0,immunized,3.7733,0.5106,0.2342
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@4.0@original,blur,4.0,original,4.1900,0.5351,0.2472
./robustness_results/SD_Img2Img/MagicBrush_target_opt,clean@None@immunized,clean,,immunized,6.4300,0.3136,0.0780
./robustness_results/SD_Img2Img/MagicBrush_target_opt,clean@None@original,clean,,original,1.2400,0.9503,0.9429
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@85@immunized,jpeg,85,immunized,5.7200,0.3658,0.1268
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@85@original,jpeg,85,original,1.5567,0.7592,0.5483
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@60@immunized,jpeg,60,immunized,5.0333,0.4903,0.1960
